ano,notificacoes_total,notificacoes_media,notificacoes_mediana,notificacoes_max,municipios_ativos
1999,13,1.625,1.0,3,8
2000,171654,9.114049060210258,2.0,1381,2087
2001,485989,11.52615975713879,2.0,2485,3512
2002,885534,15.534049047468688,2.0,15950,4303
2003,416298,8.790447231724313,2.0,1393,3834
2004,136524,5.176265402843602,1.0,946,3079
2005,260443,7.212489615065079,2.0,1235,3404
2006,410039,9.057832070511829,2.0,1970,3788
2007,714498,11.398047410905146,2.0,4053,4324
2008,914831,14.741785777591568,2.0,15266,4414
2009,599275,11.46279648048967,2.0,1959,3986
2010,1371679,17.568960217229808,3.0,5610,4572
2011,1144368,14.027383827116608,2.0,6848,4724
2012,944889,13.227996248127564,2.0,14959,4410
2013,2022238,22.38474651317246,3.0,15872,4799
2014,966369,13.07105177730888,2.0,7274,4494
2015,2397091,23.343893033130126,3.0,10471,4951
2016,2296878,24.329530649210334,3.0,15112,5132
2017,518345,8.200623338817872,2.0,3591,4495
2018,478768,8.005082932049223,2.0,1585,4350
2019,2261441,22.22022323972724,3.0,14963,4991
2020,1494587,16.553917550893825,3.0,3586,4721
2021,1009791,13.494467459575036,2.0,3397,4477
2022,1404535,16.86784680605762,3.0,4813,5018
2023,1644709,19.520146694043223,3.0,5438,4992
2024,6560720,52.87875490646485,5.0,49392,5485
2025,1642302,18.119353913369668,2.0,5143,5156
2026,258079,9.474961450914163,2.0,1579,4388
