feature,gain
notificacoes_lag_1,0.09201532
notificacoes_diff_4,0.060369287
notificacoes_razao_media_4,0.0504587
label_crescimento_acelerado,0.042117994
label_surto_local,0.027755003
pressure_mean_mbar,0.024493346
notificacoes_media_movel_3,0.020826072
notificacoes_lag_2,0.020709956
rain_mean_mm,0.019982578
prop_raca_preta,0.019553704
notificacoes_razao_media_8,0.018458182
notificacoes_lag_3,0.01806281
notificacoes_max_movel_12,0.016939394
prop_criterio_clinico_epi,0.01626029
rain_heavy_days_lag2,0.015461871
notificacoes_lag_4,0.01492718
notificacoes_pct_change_1,0.014879748
notificacoes_min_movel_8,0.014678565
notificacoes_lag_12,0.013288044
atraso_notificacao_medio_dias,0.01265422
