epoch,train_rmse,val_rmse
0,53.26347096267269,37.98916834511845
1,49.699677106667416,35.12180007029537
2,46.3358817873564,32.52429126903351
3,43.391415347304765,30.127534307074452
4,40.802146299526385,28.19661145619276
5,38.514510333749186,26.7109833739653
6,36.37188155471483,25.542164997671275
7,34.389713546313075,24.744690618347295
8,32.74070575813715,24.13065733311907
9,31.23972011176487,24.064805810645
10,29.85470116971911,24.20621840947622
11,28.634788605191165,24.564940815427974
12,27.540271282725744,24.723938003690087
13,26.53289149336337,24.90636211174816
14,25.677124763332063,25.76515258408475
15,24.885532365943135,26.054448670512336
16,24.16142268399457,26.235641942682296
17,23.52575084221413,26.37019581401891
18,22.891006133382284,26.833023419053617
19,22.38932459698031,27.777504640932822
20,21.91565636786854,28.069797618433444
21,21.481345522369953,28.587142276153514
22,21.12266653969799,29.149925442172503
23,20.758243718541664,29.478104133420707
24,20.362677729451292,29.721057333984266
25,20.030462401545396,30.032087369378278
26,19.69375294888479,30.404176929775577
27,19.444785663570503,30.62402134723027
28,19.164151956839902,31.152870335366156
29,18.944990335077065,31.324869135872238
30,18.706701311852537,31.628484455805275
31,18.543759957785436,31.735298131225974
32,18.344813096147977,32.00069393438787
33,18.14303589320547,32.045143786043404
34,18.001163081519433,32.208779467675384
35,17.814709762200728,32.1557401149325
36,17.728585860765293,32.20382970064014
37,17.61015251191483,32.309812022789345
38,17.495648612924533,32.41254858360539
39,17.396641325481216,32.616982008868085
40,17.28568586611339,32.64425954495581
41,17.208731356918552,32.75485577573678
42,17.129820181235285,32.76903288720336
43,17.036123844976185,33.00179387596169
44,16.974071125553866,33.07611356026197
45,16.907245721280795,33.16319792358722
46,16.833800992026653,33.15488390528296
47,16.77358936117309,33.23591825341492
48,16.732249208780345,33.27037234094423
49,16.70290087209146,33.26421897462288
50,16.645810892521116,33.315678876483204
51,16.59055721207896,33.52925652145564
52,16.560971608180846,33.570543784755806
53,16.525860312150552,33.58675534070151
54,16.485587991199097,33.639898924464255
55,16.451714667624362,33.64181621205049
56,16.34927312560975,33.63818285866251
57,16.270623956198015,33.8038625840655
58,16.226973814600314,33.90035194283832
59,16.212789564606034,33.864896196773394
